USA,84209473,0
India,43121599,0.004
Brazil,30682094,0.009
France,29160802,0.013
Germany,25780226,0.018
UK,22159805,0.022
Russia,18260293,0.027
South Korea,17782061,0.031
Italy,17057873,0.036
Turkey,15053168,0.04
Spain,12127122,0.044
Viet Nam,10696630,0.049
Argentina,9101319,0.053
Japan,8338211,0.058
Netherlands,8067116,0.062
Iran,7228051,0.067
Australia,6593795,0.071
Colombia,6095316,0.076
Indonesia,6050776,0.08
Poland,6003436,0.084
Mexico,5745652,0.089
Ukraine,5006460,0.093
Malaysia,4475873,0.098
Thailand,4373846,0.102
Austria,4212492,0.107
Belgium,4116397,0.111
Israel,4106793,0.116
Portugal,4066674,0.12
Czech Republic,3915847,0.124
South Africa,3887449,0.129
Canada,3821346,0.133
Philippines,3687922,0.138
Switzerland,3631881,0.142
Chile,3605522,0.147
Peru,3571919,0.151
Greece,3392575,0.156
Denmark,2976667,0.16
Romania,2903072,0.164
Sweden,2504894,0.169
Iraq,2326458,0.173
Serbia,2012836,0.178
Bangladesh,1953012,0.182
Hungary,1909948,0.187
Slovakia,1787093,0.191
Jordan,1694216,0.196
Georgia,1655221,0.2
Ireland,1535451,0.204
Pakistan,1529249,0.209
Norway,1429717,0.213
Kazakhstan,1305636,0.218
Singapore,1240233,0.222
China Hong Kong Sar,1208506,0.227
Morocco,1165795,0.231
Bulgaria,1161504,0.236
Croatia,1131450,0.24
Cuba,1104589,0.244
Lebanon,1097956,0.249
Finland,1069740,0.253
Lithuania,1060619,0.258
New Zealand,1043683,0.262
Tunisia,1041197,0.267
Slovenia,1019468,0.271
Belarus,982867,0.276
Nepal,978998,0.28
Bolivia,906146,0.284
Uruguay,902540,0.289
United Arab Emirates,902484,0.293
Ecuador,872268,0.298
Costa Rica,866164,0.302
Guatemala,851877,0.307
Latvia,825699,0.311
Panama,806277,0.316
Azerbaijan,792638,0.32
Taiwan,768543,0.324
Saudi Arabia,759226,0.329
Sri Lanka,663671,0.333
Paraguay,649718,0.338
Kuwait,632074,0.342
Myanmar,613140,0.347
State Of Palestine,582119,0.351
Dominican Republic,580412,0.356
Bahrain,576997,0.36
Estonia,573922,0.364
Venezuela,522921,0.369
Moldova,516986,0.373
Egypt,515645,0.378
Libya,501904,0.382
Cyprus,477711,0.387
Ethiopia,470937,0.391
