Yemen,2149,11819,18.18,1
Western Sahara,1,10,10,2
Sudan,4936,62161,7.94,3
Peru,213023,3571919,5.96,4
Mexico,324465,5745652,5.65,5
Syria,3150,55869,5.64,6
Somalia,1350,26518,5.09,7
Egypt,24613,515645,4.77,8
Afghanistan,7690,179267,4.29,9
Bosnia And Herzegovina,15778,377511,4.18,10
Ecuador,35607,872268,4.08,11
Liberia,294,7451,3.95,12
Niger,310,9013,3.44,13
Bulgaria,37045,1161504,3.19,14
Myanmar,19434,613140,3.17,15
Malawi,2636,85887,3.07,16
Gambia,365,11999,3.04,17
Macedonia,9289,310684,2.99,18
Paraguay,18872,649718,2.9,19
Tunisia,28575,1041197,2.74,20
Haiti,835,30713,2.72,21
Mauritius,996,37843,2.63,22
Chad,193,7414,2.6,23
Algeria,6875,265816,2.59,24
Indonesia,156458,6050776,2.59,24
South Africa,100753,3887449,2.59,24
Honduras,10896,424390,2.57,27
El Salvador,4129,162089,2.55,28
Namibia,4028,160074,2.52,29
Trinidad And Tobago,3871,154643,2.5,30
Sri Lanka,16511,663671,2.49,31
Hungary,46343,1909948,2.43,32
Bolivia,21943,906146,2.42,33
Tanzania,840,35354,2.38,34
Bahamas,801,33871,2.36,35
Mali,733,31003,2.36,35
China,5209,221804,2.35,37
Colombia,139821,6095316,2.29,38
Senegal,1966,86039,2.29,38
Jamaica,2995,131980,2.27,40
Romania,65612,2903072,2.26,41
Cambodia,3056,136262,2.24,42
Moldova,11489,516986,2.22,43
Zimbabwe,5482,249206,2.2,44
Uganda,3596,164069,2.19,45
Ukraine,108449,5006460,2.17,46
Madagascar,1393,64236,2.17,46
Brazil,664920,30682094,2.17,46
Lesotho,697,32910,2.12,49
Guatemala,17792,851877,2.09,50
Guinea Bissau,171,8222,2.08,51
Russia,377670,18260293,2.07,52
Armenia,8623,422896,2.04,53
Pakistan,30376,1529249,1.99,54
Comoros,160,8100,1.98,55
Swaziland,1402,71698,1.96,56
Iran,141224,7228051,1.95,57
Poland,116207,6003436,1.94,58
Guyana,1228,63804,1.92,59
Angola,1900,99194,1.92,59
Burkina Faso,382,20853,1.83,61
Antigua And Barbuda,137,7721,1.77,62
Kenya,5649,324026,1.74,63
Mauritania,982,58840,1.67,64
Suriname,1337,80008,1.67,64
Philippines,60455,3687922,1.64,66
Sierra Leone,125,7682,1.63,67
Cameroon,1927,119780,1.61,68
Congo,385,24079,1.6,69
Chile,57722,3605522,1.6,69
Ethiopia,7510,470937,1.59,71
Saint Vincent And The Grenadines,106,6799,1.56,72
Wallis And Futuna Islands,7,454,1.54,73
Democratic Republic Of The Congo,1337,87023,1.54,73
Saint Lucia,368,24267,1.52,75
Bangladesh,29127,1953012,1.49,76
Kyrgyzstan,2991,200993,1.49,76
Papua New Guinea,651,43876,1.48,78
Argentina,128729,9101319,1.41,79
Croatia,15930,1131450,1.41,79
Morocco,16071,1165795,1.38,81
Grenada,221,16344,1.35,82
Fiji,862,64773,1.33,83
Libya,6430,501904,1.28,84
Albania,3497,275574,1.27,85
Zambia,3983,320591,1.24,86
Nigeria,3143,255859,1.23,87
Nicaragua,225,18491,1.22,88
Sao Tome And Principe,73,5970,1.22,88
USA,1026646,84209473,1.22,88
Azerbaijan,9709,792638,1.22,88
Nepal,11952,978998,1.22,88
India,524214,43121599,1.22,88
Guinea,442,36597,1.21,94
Djibouti,189,15631,1.21,94
Saudi Arabia,9116,759226,1.2,96
Belize,676,57896,1.17,97
Equatorial Guinea,183,15910,1.15,98
Montenegro,2719,236277,1.15,98
Rwanda,1459,129907,1.12,100
Slovakia,20041,1787093,1.12,100
Venezuela,5711,522921,1.09,102
Oman,4260,389408,1.09,102
Iraq,25216,2326458,1.08,104
Eritrea,103,9745,1.06,105
Canada,40228,3821346,1.05,106
Kazakhstan,13661,1305636,1.05,106
Czech Republic,40245,3915847,1.03,108
Georgia,16811,1655221,1.02,109
Panama,8203,806277,1.02,109
Mozambique,2201,225493,0.98,111
Italy,165244,17057873,0.97,112
Costa Rica,8444,866164,0.97,112
Cote D Ivoire,799,81989,0.97,112
Bermuda,135,14135,0.96,115
Lebanon,10407,1097956,0.95,116
British Virgin Islands,62,6573,0.94,117
State Of Palestine,5353,582119,0.92,118
Ghana,1445,161280,0.9,119
French Polynesia,649,72821,0.89,120
Botswana,2690,306324,0.88,121
Greece,29547,3392575,0.87,122
Spain,105444,12127122,0.87,122
Lithuania,9127,1060619,0.86,124
Sint Maarten,86,10123,0.85,125
Jordan,14048,1694216,0.83,126
Malaysia,35612,4475873,0.8,127
Solomon Islands,146,18174,0.8,127
UK,176708,22159805,0.8,127
Serbia,16049,2012836,0.8,127
Uruguay,7213,902540,0.8,127
South Sudan,138,17525,0.79,132
Saint Kitts And Nevis,43,5605,0.77,133
Belgium,31613,4116397,0.77,133
China Hong Kong Sar,9361,1208506,0.77,133
Cuba,8529,1104589,0.77,133
Central African Republic,113,14649,0.77,133
Malta,713,93508,0.76,138
Dominican Republic,4376,580412,0.75,139
Sweden,18864,2504894,0.75,139
Togo,273,37023,0.74,141
Tajikistan,124,17388,0.71,142
Cabo Verde,401,56105,0.71,142
Belarus,6978,982867,0.71,142
Latvia,5798,825699,0.7,145
Uzbekistan,1637,238802,0.69,146
San Marino,115,16852,0.68,147
Thailand,29475,4373846,0.67,148
Turkey,98890,15053168,0.66,149
Slovenia,6622,1019468,0.65,150
Gabon,304,47608,0.64,151
