USA,1026646,0
Brazil,664920,0.004
India,524214,0.009
Russia,377670,0.013
Mexico,324465,0.018
Peru,213023,0.022
UK,176708,0.027
Italy,165244,0.031
Indonesia,156458,0.036
France,147257,0.04
Iran,141224,0.044
Colombia,139821,0.049
Germany,137919,0.053
Argentina,128729,0.058
Poland,116207,0.062
Ukraine,108449,0.067
Spain,105444,0.071
South Africa,100753,0.076
Turkey,98890,0.08
Romania,65612,0.084
Philippines,60455,0.089
Chile,57722,0.093
Hungary,46343,0.098
Viet Nam,43065,0.102
Czech Republic,40245,0.107
Canada,40228,0.111
Bulgaria,37045,0.116
Malaysia,35612,0.12
Ecuador,35607,0.124
Belgium,31613,0.129
Pakistan,30376,0.133
Japan,30039,0.138
Greece,29547,0.142
Thailand,29475,0.147
Bangladesh,29127,0.151
Tunisia,28575,0.156
Iraq,25216,0.16
Egypt,24613,0.164
South Korea,23709,0.169
Portugal,22583,0.173
Netherlands,22292,0.178
Bolivia,21943,0.182
Slovakia,20041,0.187
Myanmar,19434,0.191
Paraguay,18872,0.196
Sweden,18864,0.2
Austria,18303,0.204
Guatemala,17792,0.209
Georgia,16811,0.213
Sri Lanka,16511,0.218
Morocco,16071,0.222
Serbia,16049,0.227
Croatia,15930,0.231
Bosnia And Herzegovina,15778,0.236
Jordan,14048,0.24
Switzerland,13882,0.244
Kazakhstan,13661,0.249
Nepal,11952,0.253
Moldova,11489,0.258
Honduras,10896,0.262
Israel,10749,0.267
Lebanon,10407,0.271
Azerbaijan,9709,0.276
China Hong Kong Sar,9361,0.28
Macedonia,9289,0.284
Lithuania,9127,0.289
Saudi Arabia,9116,0.293
Armenia,8623,0.298
Cuba,8529,0.302
Costa Rica,8444,0.307
Panama,8203,0.311
Australia,7794,0.316
Afghanistan,7690,0.32
Ethiopia,7510,0.324
Uruguay,7213,0.329
Ireland,7203,0.333
Belarus,6978,0.338
Algeria,6875,0.342
Slovenia,6622,0.347
Libya,6430,0.351
Denmark,6287,0.356
Latvia,5798,0.36
Venezuela,5711,0.364
Kenya,5649,0.369
Zimbabwe,5482,0.373
State Of Palestine,5353,0.378
China,5209,0.382
Sudan,4936,0.387
Dominican Republic,4376,0.391
Finland,4284,0.396
Oman,4260,0.4
El Salvador,4129,0.404
Namibia,4028,0.409
Zambia,3983,0.413
Trinidad And Tobago,3871,0.418
Uganda,3596,0.422
Albania,3497,0.427
Syria,3150,0.431
Nigeria,3143,0.436
Norway,3061,0.44
Cambodia,3056,0.444
Jamaica,2995,0.449
Kyrgyzstan,2991,0.453
Montenegro,2719,0.458
Botswana,2690,0.462
Malawi,2636,0.467
Estonia,2556,0.471
Kuwait,2555,0.476
United Arab Emirates,2302,0.48
Mozambique,2201,0.484
Mongolia,2179,0.489
Yemen,2149,0.493
Senegal,1966,0.498
Cameroon,1927,0.502
Angola,1900,0.507
Uzbekistan,1637,0.511
Bahrain,1479,0.516
Rwanda,1459,0.52
Ghana,1445,0.524
Swaziland,1402,0.529
Madagascar,1393,0.533
Singapore,1362,0.538
Somalia,1350,0.542
Suriname,1337,0.547
Democratic Republic Of The Congo,1337,0.547
Guyana,1228,0.556
Luxembourg,1073,0.56
Taiwan,1068,0.564
Cyprus,1032,0.569
Mauritius,996,0.573
Mauritania,982,0.578
Martinique,926,0.582
New Zealand,923,0.587
Fiji,862,0.591
Guadeloupe,854,0.596
Tanzania,840,0.6
Haiti,835,0.604
Bahamas,801,0.609
Cote D Ivoire,799,0.613
Reunion,762,0.618
Laos,754,0.622
Mali,733,0.627
Malta,713,0.631
Lesotho,697,0.636
Qatar,677,0.64
Belize,676,0.644
Papua New Guinea,651,0.649
French Polynesia,649,0.653
Guinea,442,0.658
Barbados,433,0.662
Cabo Verde,401,0.667
French Guiana,397,0.671
Congo,385,0.676
Burkina Faso,382,0.68
Saint Lucia,368,0.684
Gambia,365,0.689
New Caledonia,312,0.693
Niger,310,0.698
Gabon,304,0.702
Maldives,298,0.707
Liberia,294,0.711
Curacao,275,0.716
Togo,273,0.72
Nicaragua,225,0.724
Grenada,221,0.729
Brunei Darussalam,220,0.733
Aruba,213,0.738
Chad,193,0.742
Djibouti,189,0.747
Mayotte,187,0.751
Equatorial Guinea,183,0.756
Channel Islands,173,0.76
Guinea Bissau,171,0.764
Seychelles,167,0.769
Benin,163,0.773
Comoros,160,0.778
Andorra,153,0.782
Solomon Islands,146,0.787
South Sudan,138,0.791
Antigua And Barbuda,137,0.796
Bermuda,135,0.8
Timor Leste,131,0.804
Sierra Leone,125,0.809
Tajikistan,124,0.813
Iceland,120,0.818
San Marino,115,0.822
Central African Republic,113,0.827
Saint Vincent And The Grenadines,106,0.831
Isle Of Man,105,0.836
Eritrea,103,0.84
Gibraltar,102,0.844
Sint Maarten,86,0.849
Liechtenstein,84,0.853
Sao Tome And Principe,73,0.858
Saint Martin,63,0.862
Dominica,63,0.862
British Virgin Islands,62,0.871
Monaco,54,0.876
Saint Kitts And Nevis,43,0.88
Burundi,38,0.884
Turks And Caicos Islands,36,0.889
Caribbean Netherlands,35,0.893
Cayman Islands,28,0.898
Faeroe Islands,28,0.898
Samoa,24,0.907
Bhutan,21,0.911
Greenland,21,0.911
Vanuatu,14,0.92
Kiribati,13,0.924
Tonga,11,0.929
Anguilla,9,0.933
Wallis And Futuna Islands,7,0.938
Saint Barthelemy,6,0.942
Palau,6,0.942
Montserrat,2,0.951
Cook Islands,1,0.956
Saint Pierre And Miquelon,1,0.956
Western Sahara,1,0.956
Saint Helena,0,0.969
Niue,0,0.969
China Macao Sar,0,0.969
Falkland Islands Malvinas,0,0.969
Micronesia,0,0.969
Nauru,0,0.969
Marshall Islands,0,0.969
Holy See,0,0.969
