China Macao Sar,82,82,100
Holy See,29,29,100
Niue,9,9,100
Saint Helena,2,2,100
Bhutan,59570,59491,99.87
Kuwait,632074,629114,99.53
Qatar,366179,364474,99.53
Denmark,2976667,2960386,99.45
Israel,4106793,4081150,99.38
Timor Leste,22889,22746,99.38
Gabon,47608,47297,99.35
Turkey,15053168,14951238,99.32
Tajikistan,17388,17264,99.29
Uzbekistan,238802,236974,99.23
Togo,37023,36727,99.2
Cuba,1104589,1095534,99.18
Dominican Republic,580412,575583,99.17
Caribbean Netherlands,9915,9829,99.13
Cabo Verde,56105,55613,99.12
Liechtenstein,17347,17192,99.11
Jordan,1694216,1678941,99.1
Ghana,161280,159788,99.07
Channel Islands,75275,74574,99.07
State Of Palestine,582119,576684,99.07
Netherlands,8067116,7989151,99.03
Cote D Ivoire,81989,81168,99
Mozambique,225493,223190,98.98
Saint Kitts And Nevis,5605,5547,98.97
Kazakhstan,1305636,1291669,98.93
Georgia,1655221,1637293,98.92
Botswana,306324,303026,98.92
Sweden,2504894,2477725,98.92
Uruguay,902540,892434,98.88
Czech Republic,3915847,3871654,98.87
Iraq,2326458,2299985,98.86
Latvia,825699,816253,98.86
Monaco,12004,11866,98.85
Eritrea,9745,9632,98.84
New Caledonia,61049,60339,98.84
Lebanon,1097956,1084853,98.81
Serbia,2012836,1988209,98.78
Azerbaijan,792638,782869,98.77
Nepal,978998,966904,98.76
Oman,389408,384592,98.76
Bahrain,576997,569758,98.75
India,43121599,42579692,98.74
Brunei Darussalam,144659,142788,98.71
Venezuela,522921,516170,98.71
Djibouti,15631,15427,98.69
Equatorial Guinea,15910,15701,98.69
Guinea,36597,36113,98.68
Sao Tome And Principe,5970,5891,98.68
Sint Maarten,10123,9985,98.64
Albania,275574,271826,98.64
Turks And Caicos Islands,6046,5963,98.63
Aruba,35693,35199,98.62
Montenegro,236277,232955,98.59
Slovakia,1787093,1761664,98.58
Zambia,320591,315997,98.57
Morocco,1165795,1149054,98.56
Malaysia,4475873,4409159,98.51
Papua New Guinea,43876,43200,98.46
Slovenia,1019468,1003559,98.44
Seychelles,43235,42553,98.42
Cameroon,119780,117791,98.34
Philippines,3687922,3624459,98.28
Croatia,1131450,1111405,98.23
United Arab Emirates,902484,886128,98.19
Austria,4212492,4135885,98.18
Kenya,324026,318142,98.18
Curacao,43017,42203,98.11
Mauritania,58840,57708,98.08
Belize,57896,56761,98.04
Burkina Faso,20853,20439,98.01
Saudi Arabia,759226,743921,97.98
Angola,99194,97149,97.94
Comoros,8100,7933,97.94
UK,22159805,21677896,97.83
Libya,501904,490973,97.82
Cook Islands,5410,5291,97.8
Switzerland,3631881,3551493,97.79
Cambodia,136262,133194,97.75
Argentina,9101319,8895999,97.74
Anguilla,2984,2916,97.72
Kyrgyzstan,200993,196406,97.72
Thailand,4373846,4273599,97.71
Senegal,86039,84059,97.7
Pakistan,1529249,1494141,97.7
Nigeria,255859,249943,97.69
Saint Vincent And The Grenadines,6799,6641,97.68
Ireland,1535451,1499879,97.68
Guyana,63804,62301,97.64
Guatemala,851877,831794,97.64
San Marino,16852,16454,97.64
Moldova,516986,504142,97.52
Sri Lanka,663671,646921,97.48
Greece,3392575,3306014,97.45
Armenia,422896,412048,97.43
Guinea Bissau,8222,8010,97.42
Reunion,405980,395430,97.4
Lithuania,1060619,1032609,97.36
Indonesia,6050776,5889534,97.34
Andorra,42156,41021,97.31
Antigua And Barbuda,7721,7511,97.28
Zimbabwe,249206,242417,97.28
Colombia,6095316,5928829,97.27
Bangladesh,1953012,1899419,97.26
Costa Rica,866164,841683,97.17
Dominica,12685,12323,97.15
Iran,7228051,7020835,97.13
Fiji,64773,62875,97.07
Mali,31003,30088,97.05
Swaziland,71698,69549,97
Brazil,30682094,29718402,96.86
Macedonia,310684,300761,96.81
Ethiopia,470937,455757,96.78
Bermuda,14135,13664,96.67
Russia,18260293,17647180,96.64
Luxembourg,244182,235939,96.62
Gambia,11999,11591,96.6
Myanmar,613140,592089,96.57
France,29160802,28156674,96.56
USA,84209473,81244256,96.48
Wallis And Futuna Islands,454,438,96.48
Haiti,30713,29605,96.39
Malta,93508,90076,96.33
Malawi,85887,82703,96.29
Chile,3605522,3468131,96.19
Paraguay,649718,624673,96.15
Namibia,160074,153662,95.99
Bahamas,33871,32488,95.92
Panama,806277,773421,95.92
Saint Lucia,24267,23277,95.92
Belgium,4116397,3941350,95.75
Mauritius,37843,36183,95.61
South Africa,3887449,3708347,95.39
Hungary,1909948,1821435,95.37
Japan,8338211,7951587,95.36
Bolivia,906146,863665,95.31
Spain,12127122,11548089,95.23
Niger,9013,8579,95.18
China,221804,210454,94.88
New Zealand,1043683,989005,94.76
Benin,26952,25506,94.63
Isle Of Man,28416,26794,94.29
Vanuatu,8457,7974,94.29
Australia,6593795,6199822,94.03
Syria,55869,52479,93.93
Barbados,76261,71497,93.75
Singapore,1240233,1162140,93.7
Italy,17057873,15894511,93.18
El Salvador,162089,150662,92.95
Germany,25780226,23956700,92.93
Madagascar,64236,59370,92.42
Canada,3821346,3499564,91.58
Tonga,11049,10110,91.5
Gibraltar,18129,16579,91.45
Trinidad And Tobago,154643,141354,91.41
Maldives,179483,163687,91.2
Afghanistan,179267,162202,90.48
Solomon Islands,18174,16357,90
Western Sahara,10,9,90
Estonia,573922,514836,89.7
Grenada,16344,14634,89.54
Saint Pierre And Miquelon,2739,2449,89.41
Poland,6003436,5335112,88.87
Mexico,5745652,5044893,87.8
Viet Nam,10696630,9355040,87.46
Bulgaria,1161504,1014302,87.33
Egypt,515645,442182,85.75
Palau,4879,4166,85.39
Kiribati,3093,2602,84.13
Congo,24079,20178,83.8
Marshall Islands,17,14,82.35
Liberia,7451,5747,77.13
South Sudan,17525,13514,77.11
Yemen,11819,9009,76.22
Lesotho,32910,24155,73.4
Algeria,265816,178371,67.1
Mongolia,469885,313256,66.67
Chad,7414,4874,65.74
Jamaica,131980,84883,64.32
Nauru,8,5,62.5
Suriname,80008,49455,61.81
Uganda,164069,100205,61.07
Democratic Republic Of The Congo,87023,50930,58.52
Montserrat,747,390,52.21
Somalia,26518,13182,49.71
Central African Republic,14649,6859,46.82
Cayman Islands,23578,8553,36.28
Rwanda,129907,45522,35.04
Honduras,424390,132358,31.19
Cyprus,477711,124370,26.03
Greenland,11971,2761,23.06
Nicaragua,18491,4225,22.85
Faeroe Islands,34658,7693,22.2
Micronesia,7,1,14.29
Samoa,11313,1605,14.19
French Guiana,81784,11254,13.76
Saint Martin,10602,1399,13.2
Mayotte,37363,2964,7.93
Taiwan,768543,60634,7.89
Guadeloupe,140130,2250,1.61
Martinique,153253,104,0.07
Laos,209386,0,0
French Polynesia,72821,0,0
Iceland,186545,0,0
Falkland Islands Malvinas,1126,0,0
Finland,1069740,0,0
Ecuador,872268,0,0
China Hong Kong Sar,1208506,0,0
Belarus,982867,0,0
Burundi,41235,0,0
Bosnia And Herzegovina,377511,0,0
British Virgin Islands,6573,0,0
Sudan,62161,0,0
South Korea,17782061,0,0
Ukraine,5006460,0,0
Tunisia,1041197,0,0
Tanzania,35354,0,0
Saint Barthelemy,4611,0,0
Sierra Leone,7682,0,0
Norway,1429717,0,0
Peru,3571919,0,0
Portugal,4066674,0,0
Romania,2903072,0,0
